statistic_yyy,site_id,village ,edu_age_15up_total,edu_doctor_graduated_m,edu_doctor_graduated_f,edu_doctor_ungraduated_m,edu_doctor_ungraduated_f,edu_master_graduated_m,edu_master_graduated_f,edu_master_ungraduated_m,edu_master_ungraduated_f,edu_university_graduated_m,edu_university_graduated_f,edu_university_ungraduated_m,edu_university_ungraduated_f,edu_juniorcollege_2ys_graduated_m,edu_juniorcollege_2ys_graduated_f,edu_juniorcollege_2ys_ungraduated_m,edu_juniorcollege_2ys_ungraduated_f,edu_juniorcollege_5ys_final2y_graduated_m,edu_juniorcollege_5ys_final2y_graduated_f,edu_juniorcollege_5ys_final2y_ungraduated_m,edu_juniorcollege_5ys_final2y_ungraduated_f,edu_juniorcollege_5ys_first3y_ungraduated_m,edu_juniorcollege_5ys_first3y_ungraduated_f,edu_senior_graduated_m,edu_senior_graduated_f,edu_senior_ungraduated_m,edu_senior_ungraduated_f,edu_seniorvocational_graduated_m,edu_seniorvocational_graduated_f,edu_seniorvocational_ungraduated_m,edu_seniorvocational_ungraduated_f,edu_junior_graduated_m,edu_junior_graduated_f,edu_junior_ungraduated_m,edu_junior_ungraduated_f,edu_juniorvocational_graduated_m,edu_juniorvocational_graduated_f,edu_juniorvocational_ungraduated_m,edu_juniorvocational_ungraduated_f,edu_primary_graduated_m,edu_primary_graduated_f,edu_primary_ungraduated_m,edu_primary_ungraduated_f,edu_selftaughtl_m,edu_selftaughtl_f,edu_illiterate_m,edu_illiterate_f
105,臺中市中　區,繼光里,1577,4,2,4,1,47,31,7,14,160,163,45,43,45,46,14,6,58,48,4,1,62,63,36,20,126,139,39,36,2,3,42,75,12,10,0,6,0,2,53,82,5,14,0,0,0,7
105,臺中市中　區,大墩里,2253,14,5,3,2,77,52,20,23,218,217,72,85,52,87,12,18,80,74,5,2,93,62,38,41,181,203,51,50,3,5,77,91,22,17,3,3,1,0,54,104,11,14,0,6,2,3
105,臺中市中　區,綠川里,1740,9,2,4,2,52,43,14,7,175,187,59,49,43,50,12,9,68,55,10,4,72,58,25,25,145,161,43,24,0,6,63,80,14,14,0,5,0,0,47,83,4,6,0,3,0,8
105,臺中市中　區,公園里,1543,14,7,2,0,53,44,8,13,192,176,52,52,39,50,9,7,61,61,5,2,51,62,30,24,112,133,34,16,1,2,44,60,12,6,1,5,0,0,27,62,6,3,0,1,0,4
105,臺中市中　區,光復里,2142,5,1,5,1,49,40,11,12,201,211,88,52,54,59,11,12,82,88,5,5,86,92,42,29,157,189,62,40,2,6,88,113,17,17,3,3,0,1,54,118,10,9,0,3,0,9
105,臺中市中　區,柳川里,1945,3,3,5,3,44,22,14,10,171,151,57,57,48,56,14,12,68,62,4,3,97,55,30,28,205,179,60,39,2,3,93,88,20,13,3,5,0,0,73,116,8,8,2,1,1,9
105,臺中市中　區,大誠里,2350,8,1,5,1,57,35,15,10,188,214,77,68,63,68,16,24,72,67,11,1,80,58,39,36,209,211,71,40,4,6,120,117,22,15,2,2,2,0,100,162,12,16,2,7,2,14
105,臺中市中　區,中華里,1844,7,7,4,2,54,33,8,11,154,162,33,47,57,52,12,5,57,52,2,2,82,71,16,15,181,176,41,34,2,4,108,109,14,14,1,3,0,1,63,112,9,9,5,4,1,8
105,臺中市東　區,新庄里,3111,17,8,8,4,107,60,19,26,290,276,94,74,90,108,16,15,102,88,5,2,116,97,43,31,323,271,78,51,1,3,167,152,26,17,2,4,1,0,114,167,6,11,1,3,1,16
105,臺中市東　區,振興里,3262,8,3,9,2,97,58,28,14,295,333,106,94,95,93,14,15,86,86,12,9,94,82,46,13,304,288,92,71,3,2,182,151,27,19,3,5,0,2,134,212,11,15,1,6,6,36
105,臺中市東　區,東橋里,3792,12,9,6,3,87,54,30,25,348,356,130,135,121,126,19,21,79,80,3,1,86,98,39,38,382,368,95,86,4,7,198,214,23,30,9,1,0,0,143,264,13,18,0,3,4,24
