site_id,edu_age_15up_total,edu_doctor_graduated_m,edu_doctor_graduated_f,edu_doctor_ungraduated_m,edu_doctor_ungraduated_f,edu_master_graduated_m,edu_master_graduated_f,edu_master_ungraduated_m,edu_master_ungraduated_f,edu_university_graduated_m,edu_university_graduated_f,edu_university_ungraduated_m,edu_university_ungraduated_f,edu_juniorcollege_2ys_graduated_m,edu_juniorcollege_2ys_graduated_f,edu_juniorcollege_2ys_ungraduated_m,edu_juniorcollege_2ys_ungraduated_f,edu_juniorcollege_5ys_final2y_graduated_m,edu_juniorcollege_5ys_final2y_graduated_f,edu_juniorcollege_5ys_final2y_ungraduated_m,edu_juniorcollege_5ys_final2y_ungraduated_f,edu_juniorcollege_5ys_first3y_ungraduated_m,edu_juniorcollege_5ys_first3y_ungraduated_f,edu_senior_graduated_m,edu_senior_graduated_f,edu_senior_ungraduated_m,edu_senior_ungraduated_f,edu_seniorvocational_graduated_m,edu_seniorvocational_graduated_f,edu_seniorvocational_ungraduated_m,edu_seniorvocational_ungraduated_f,edu_junior_graduated_m,edu_junior_graduated_f,edu_junior_ungraduated_m,edu_junior_ungraduated_f,edu_juniorvocational_graduated_m,edu_juniorvocational_graduated_f,edu_juniorvocational_ungraduated_m,edu_juniorvocational_ungraduated_f,edu_primary_graduated_m,edu_primary_graduated_f,edu_primary_ungraduated_m,edu_primary_ungraduated_f,edu_selftaughtl_m,edu_selftaughtl_f,edu_illiterate_m,edu_illiterate_f
臺中市中區,15394,64,28,32,12,433,300,97,100,1459,1481,483,453,401,468,100,93,546,507,46,20,623,521,256,218,1316,1391,401,279,16,35,635,733,133,106,13,32,3,4,471,839,65,79,9,25,6,62
臺中市東區,65919,170,74,107,54,1747,1164,531,366,6082,6737,2340,2029,2052,2150,395,300,1626,1588,108,81,1916,1757,803,645,6519,6137,1771,1312,67,136,3226,3368,467,420,66,42,16,10,2316,3992,167,427,18,91,34,495
臺中市南區,105613,706,308,228,138,3953,2911,1043,917,11093,13580,4135,3715,3772,4463,700,713,2603,2813,128,111,2822,3179,1430,1394,8394,9172,2498,1796,155,254,3318,4102,605,677,70,114,16,14,2174,4148,175,384,31,164,40,457
臺中市西區,98735,659,312,260,147,4247,3329,1014,891,12126,13441,3500,3273,3050,3887,450,442,2513,3225,112,122,2382,2797,1435,1330,7157,8647,1732,1310,99,196,2633,3543,536,504,67,111,18,13,1986,4163,160,330,35,130,40,381
臺中市北區,128962,687,286,306,163,4432,3199,1106,930,14575,15934,4723,4157,4254,4756,563,546,3134,3664,189,164,3617,4049,1572,1476,10947,12521,2506,2024,131,264,4468,5588,623,662,110,175,28,23,2762,6055,275,550,31,129,55,553
臺中市西屯區,188480,1173,484,500,192,7881,5384,1932,1499,20703,24130,7856,7095,5826,7249,1019,917,4738,5805,270,236,4507,5249,2937,2917,14171,16706,4185,3194,226,474,5842,7374,934,937,126,159,25,20,3707,7114,564,1072,27,165,70,889
臺中市南屯區,138278,799,347,346,154,5824,4141,1435,1131,15169,17999,6030,5605,4428,6000,690,656,3521,4444,149,149,3097,3585,2410,2213,9921,11941,3082,2396,128,307,3922,4780,493,547,209,201,34,27,2906,5388,274,695,26,104,51,524
臺中市北屯區,230302,799,317,446,195,7661,5226,2161,1683,24253,27156,8908,8257,7767,9136,1314,1135,5633,6568,275,247,5225,5853,3117,2929,20875,23623,5639,4243,278,588,7311,9322,1317,1263,159,195,34,28,5385,10660,405,977,123,547,112,957
臺中市豐原區,141845,246,97,180,74,3345,2108,1006,824,11973,13409,5267,4723,4050,4550,990,760,3140,3303,217,157,2852,2699,1660,1555,15170,14556,4317,2865,184,410,7174,7867,931,815,292,266,41,23,5976,9363,317,696,46,142,159,1050
臺中市東勢區,45201,36,19,30,16,747,438,230,183,3128,3205,1227,1170,1215,1013,268,177,911,804,80,57,1036,924,360,324,6072,4464,1413,864,49,152,3175,2832,198,195,189,79,27,10,2620,4186,130,258,11,49,78,552
臺中市大甲區,65616,75,22,45,36,1298,819,442,323,5090,5722,2249,2068,1678,1579,377,281,1028,967,67,54,1801,1683,931,859,6776,5647,1917,1248,66,188,4581,4219,344,343,85,55,36,11,3429,5002,201,460,63,160,221,1070
臺中市清水區,73941,89,39,70,27,1553,931,491,351,5853,6282,2481,2190,2010,1962,393,291,1211,1092,84,82,1612,1341,773,777,8327,6447,2121,1349,64,187,5189,4504,498,388,74,37,24,8,4289,5435,368,805,95,113,202,1432
臺中市沙鹿區,75396,164,62,121,30,2029,1255,577,412,6535,7384,2623,2397,2329,2423,412,372,1306,1278,100,71,1356,1338,759,778,7935,6779,2503,1571,74,208,4310,3564,642,466,73,78,15,14,3421,5070,325,665,97,125,202,1148
