,site_id,臺中市中區,臺中市東區,臺中市南區,臺中市西區,臺中市北區,臺中市西屯區,臺中市南屯區,臺中市北屯區,臺中市豐原區,臺中市東勢區,臺中市大甲區,臺中市清水區,臺中市沙鹿區,臺中市梧棲區,臺中市后里區,臺中市神岡區,臺中市潭子區,臺中市大雅區,臺中市新社區,臺中市石岡區,臺中市外埔區,臺中市大安區,臺中市烏日區,臺中市大肚區,臺中市龍井區,臺中市霧峰區,臺中市太平區,臺中市大里區,臺中市和平區
,博畢_男,64,170,706,659,687,1173,799,799,246,36,75,89,164,40,36,44,128,99,20,9,27,7,103,56,124,125,239,390,3
,博畢_女,28,74,308,312,286,484,347,317,97,19,22,39,62,11,17,12,47,36,3,4,9,5,36,18,49,45,100,147,1
,博肄_男,32,107,228,260,306,500,346,446,180,30,45,70,121,36,33,46,81,57,14,11,19,8,64,39,74,60,172,229,6
,博肄_女,12,54,138,147,163,192,154,195,74,16,36,27,30,16,6,16,41,34,8,5,8,5,35,18,27,21,84,100,4
,碩畢_男,433,1747,3953,4247,4432,7881,5824,7661,3345,747,1298,1553,2029,974,768,946,1917,1733,261,223,441,246,1447,936,1442,1076,3045,4205,78
,碩畢_女,300,1164,2911,3329,3199,5384,4141,5226,2108,438,819,931,1255,601,445,523,1099,949,145,107,249,114,883,537,915,672,1949,2659,44
,碩肄_男,97,531,1043,1014,1106,1932,1435,2161,1006,230,442,491,577,356,250,323,659,551,96,71,173,73,464,349,436,375,1055,1331,28
,碩肄_女,100,366,917,891,930,1499,1131,1683,824,183,323,351,412,240,179,214,438,404,93,45,103,56,323,212,347,290,785,1031,32
,大畢_男,1459,6082,11093,12126,14575,20703,15169,24253,11973,3128,5090,5853,6535,3891,3272,4245,7559,6391,1265,911,1773,1017,5147,4097,5593,4513,12844,14870,440
,大畢_女,1481,6737,13580,13441,15934,24130,17999,27156,13409,3205,5722,6282,7384,4557,3602,4743,8448,7406,1370,997,2021,1116,5989,4155,6314,4996,14648,17637,432
,大肄_男,483,2340,4135,3500,4723,7856,6030,8908,5267,1227,2249,2481,2623,1906,1437,2042,3635,3161,630,371,874,534,2326,1542,2446,2052,5798,7058,261
