代碼,學校名稱,公/私立,縣市名稱,地址,電話,網址
011301,私立淡江高中附設國小,私立,[01]新北市,[251]新北市淡水區真理街26號,(02)26203850,www.tksh.ntpc.edu.tw
011302,私立康橋高中附設國小,私立,[01]新北市,[231]新北市新店區華城路800號,(02)22166000,www.kcbs.ntpc.edu.tw
011307,新北市私立裕德實驗高級中學附設國小,私立,[01]新北市,[236]新北市土城區擺接堡路1號,(02)82617889,www.yuteh.ntpc.edu.tw/yuteh
400144,國立臺灣戲曲學院附設國小,公立,[40]臺北市,[114]臺北市內湖路二段177號,(02)27962666,www.tcpa.edu.tw
421303,臺北市私立奎山實驗高級中學附設國小,私立,[42]臺北市,[112]臺北市北投區榮華里明德路200號,(02)28212009,www.ksjh.tp.edu.tw
031320,桃園市新興高中附設國小,私立,[03]桃園市,[330]桃園市桃園區富國路437號,(03)2509000,www.hshs.tyc.edu.tw
034529,市立仁美國中附設國小,公立,[03]桃園市,[326]桃園市楊梅區高榮里11鄰東高山頂9-8號,(03)4641123,www.zmjhs.tyc.edu.tw
191301,私立東大附中附設國小,私立,[19]臺中市,[407]臺中市西屯區臺灣大道四段1727號,(04)23590269,www.hn.thu.edu.tw
191302,私立葳格高中附設國小,私立,[19]臺中市,[407]台中市西屯區長安路一段35號,(04)23164790,www.wagor.tc.edu.tw
110328,國立南科國際實驗高中附設國小,公立,[11]臺南市,[744]臺南市新市區三舍里大順6路12巷6號,(06)5052916,www.nnkieh.tnc.edu.tw
211320,財團法人慈濟高中附設國小,私立,[21]臺南市,[708]臺南市安平區建平五街111號,(06)2932323,www.tcsh.tn.edu.tw
121320,私立義大國際高中附設國小,私立,[12]高雄市,[840]高雄市大樹區學城路1段6號,(07)6577115 ,www.isis.ks.edu.tw
521301,私立明誠高中附設國小,私立,[52]高雄市,[804]高雄市鼓山區中華一路97號,(07)5521593,www.mcsh.kh.edu.tw
521303,私立大榮高中附設國小,私立,[52]高雄市,[804]高雄市鼓山區大榮街1號,(07)5613281,www.dystcs.kh.edu.tw
521401,私立中華藝校附設國小,私立,[52]高雄市,[804]高雄市鼓山區美術館路89號,(07)5549696,www.charts.kh.edu.tw
580301,國立高師大附中附設國小,公立,[58]高雄市,[802]高雄市苓雅區凱旋二路89號,(07)7613875,www.nknush.kh.edu.tw
021310,私立中道高中附設國小,私立,[02]宜蘭縣,[263]宜蘭縣壯圍鄉功勞村中央路三段312巷7號,(03)9306696,www.cdsh.ilc.edu.tw
024325,縣立慈心華德福實中附設國小,公立,[02]宜蘭縣,[269]宜蘭縣冬山鄉照安路257號,(039)596222,blog.ilc.edu.tw/blog/blog/25783
081313,私立弘明實驗高中附設國小,私立,[08]南投縣,[551]南投縣名間鄉東湖村大老巷102號,(049)2731799,www.holdmean.org.tw
141301,臺東縣均一高中附設國小,私立,[14]臺東縣,[950]臺東縣臺東市中興路二段366巷36號,(089)223301,junyi.tw
151312,財團法人慈濟大學附中附設國小,私立,[15]花蓮縣,[970]花蓮縣花蓮市介仁街178號,(03)8572823,www.tcsh.hlc.edu.tw
171306,私立二信高中附設國小,私立,[17]基隆市,[202]基隆市中正區立德路243號,(02)24623131,www.essh.kl.edu.tw/essh/index.asp
180301,國立科學工業園區實驗高中附設國小,公立,[18]新竹市,[300]新竹市東區介壽路300號,(03)5777011,www.nehs.hc.edu.tw
