代碼,學校名稱,公/私立,縣市名稱,地址,location
061601,私立華盛頓國小,私立,[06]臺中市,[427]臺中市潭子區潭興路一段165巷300號,24.1971371 120.7181038
064601,市立豐原國小,公立,[06]臺中市,[420]臺中市豐原區新生北路155號,24.2546278 120.7207421
064602,市立瑞穗國小,公立,[06]臺中市,[420]臺中市豐原區西安街72號,24.2491239 120.7114384
064603,市立南陽國小,公立,[06]臺中市,[420]臺中市豐原區中陽里南陽路440號,24.2484124 120.7226942
064604,市立富春國小,公立,[06]臺中市,[420]臺中市豐原區豐西里中山路455號,24.2522195 120.714078
064605,市立豐村國小,公立,[06]臺中市,[420]臺中市豐原區水源路341號,24.2555607 120.7363261
064606,市立翁子國小,公立,[06]臺中市,[420]臺中市豐原區翁子里豐勢路2段290巷3號,24.2634055 120.7425527
064607,市立豐田國小,公立,[06]臺中市,[420]臺中市豐原區田心路二段290號,24.2368702 120.721554
064608,市立合作國小,公立,[06]臺中市,[420]臺中市豐原區三村里西勢路410號,24.2400075 120.7034777
064609,市立內埔國小,公立,[06]臺中市,[421]臺中市后里區文化路30號,24.3070668 120.714965
064610,市立后里國小,公立,[06]臺中市,[421]臺中市后里區義里里甲后路一段168號,24.3093334 120.7272921
064611,市立月眉國小,公立,[06]臺中市,[421]臺中市后里區眉山里甲后路二段588號,24.3143039 120.6907612
064612,市立七星國小,公立,[06]臺中市,[421]臺中市后里區墩南里南村路389號,24.3032121 120.7126343
064613,市立育英國小,公立,[06]臺中市,[421]臺中市后里區太平里四月路23號,24.3091883 120.6712303
064614,市立后里區泰安國小,公立,[06]臺中市,[421]臺中市后里區泰安里安眉路5號,24.3251326 120.7496013
064615,市立神岡國小,公立,[06]臺中市,[429]臺中市神岡區神岡里神圳路1號,24.2586614 120.6611525
064616,市立豐洲國小,公立,[06]臺中市,[429]臺中市神岡區豐洲里豐洲路482號,24.2619353 120.7038977
064617,市立社口國小,公立,[06]臺中市,[429]臺中市神岡區社南里社南街136號,24.2449755 120.686016
064618,市立圳堵國小,公立,[06]臺中市,[429]臺中市神岡區圳堵里五鄰三民路639號,24.2728838 120.6595489
064619,市立岸裡國小,公立,[06]臺中市,[429]臺中市神岡區中山路52號,24.2488023 120.6980897
064620,市立大雅國小,公立,[06]臺中市,[428]臺中市大雅區二和里學府路230號,24.2221578 120.6499832
064621,市立三和國小,公立,[06]臺中市,[428]臺中市大雅區三和里春亭2街1號,24.2193083 120.6675894
064622,市立大明國小,公立,[06]臺中市,[428]臺中市大雅區中清路四段158號,24.2285538 120.6432416
064623,市立上楓國小,公立,[06]臺中市,[428]臺中市大雅區上楓里楓林街232號,24.2360915 120.666745
064624,市立汝鎏國小,公立,[06]臺中市,[428]臺中市大雅區秀山里平和路238號,24.230987 120.6259942
064625,市立陽明國小,公立,[06]臺中市,[428]臺中市大雅區秀山里秀山路365號,24.2212988 120.631663
064626,市立潭子國小,公立,[06]臺中市,[427]臺中市潭子區中山路二段435號,24.2144894 120.7050141
064627,市立僑忠國小,公立,[06]臺中市,[427]臺中市潭子區中山路二段31號,24.2025286 120.7033601
064628,市立東寶國小,公立,[06]臺中市,[427]臺中市潭子區雅潭路三段2號,24.2151761 120.6796626
064629,市立潭子區新興國小,公立,[06]臺中市,[427]臺中市潭子區潭興路一段25號,24.2039721 120.7255343
