代碼,學校名稱,公/私立,縣市名稱,地址,location
190601,國立臺中教大附小,公立,[19]臺中市,[404]臺中市北區民權路220號,24.143766 120.6740542
191602,私立育仁國小,私立,[19]臺中市,[404]臺中市北區錦祥里雙十路二段50號,24.1567814 120.6906318
193616,市立北區太平國小,公立,[19]臺中市,[404]臺中市北區太平路74號,24.149031 120.6818069
193617,市立北區中華國小,公立,[19]臺中市,[404]臺中市北區漢口路三段2號,24.1664958 120.6659806
193618,市立篤行國小,公立,[19]臺中市,[404]臺中市北區篤行路321號,24.1548606 120.6732167
193619,市立健行國小,公立,[19]臺中市,[404]臺中市北區健行路666號,24.159414 120.6736342
193620,市立省三國小,公立,[19]臺中市,[404]臺中市北區崇德路一段107號,24.1598347 120.6847874
193642,市立立人國小,公立,[19]臺中市,[404]臺中市北區北平路一段60號,24.171566 120.668865
193654,市立賴厝國小,公立,[19]臺中市,[404]臺中市北區漢口路四段168號,24.1669163 120.6786554
193502,市立雙十國中,公立,[19]臺中市,[404]臺中市北區力行路258號,24.1524183 120.691003
193514,市立五權國中,公立,[19]臺中市,[404]臺中市北區英才路1號,24.155046 120.6793488
193518,市立立人國中,公立,[19]臺中市,[404]臺中市北區北平路一段62號,24.1715332 120.66999
191305,私立新民高中附設國中,私立,[19]臺中市,[404]臺中市北區健行路111號,24.1588749 120.685824
191313,私立曉明女中附設國中,私立,[19]臺中市,[404]臺中市北區中清路一段606號,24.1680163 120.6731117
190302,國立臺中一中,公立,[19]臺中市,[404]臺中市北區育才街2號,24.1493051 120.6861662
190303,國立臺中二中,公立,[19]臺中市,[404]臺中市北區英士路109號,24.1527516 120.6752796
191305,私立新民高中,私立,[19]臺中市,[404]臺中市北區健行路111號,24.1588749 120.685824
191313,私立曉明女中,私立,[19]臺中市,[404]臺中市北區中清路一段606號,24.1680163 120.6731117
0049,國立臺灣體育運動大學,公立,[19]臺中市,[404]臺中市北區雙十路一段16號,24.1489449 120.6874206
0050,國立臺中科技大學,公立,[19]臺中市,[404]臺中市北區三民路三段129號,24.1500235 120.6839638
1035,中國醫藥大學,私立,[19]臺中市,[404]臺中市北區學士路91號,24.155899 120.681125
0A09,國立臺中科技大學附進修專校,公立,[19]臺中市,[404]臺中市北區三民路三段129號,24.1500235 120.6839638
0A16,國立臺中科技大學附進修學院,公立,[19]臺中市,[404]臺中市北區三民路三段129號,24.1500235 120.6839638
0A18,國立臺中科技大學附空中進院,公立,[19]臺中市,[404]臺中市北區三民路三段129號,24.1500235 120.6839638
